timestamp,market_ticker,event_ticker,sport,side,strategy,entry_price,exit_price,peak_price,contracts,entry_fee,exit_fee,pnl_gross,pnl_net,win,exit_reason,age_seconds,price_range,is_bot
2026-03-17T02:43:08.102764+00:00,KXNBAPTS-26MAR16LALHOU-LALLDONCIC77-40,KXNBAPTS-26MAR16LALHOU,,yes,watcher_prop_yes,54,11,56,2,0.01,0.01,-0.86,-0.88,0,Stop loss: 11c <= 37c (entry=54c),254,45-54,1
2026-03-17T02:45:41.340116+00:00,KXATPMATCH-26MAR16VUKHAR-HAR,KXATPMATCH-26MAR16VUKHAR,,yes,watcher_tennis_underdog,42,26,42,3,0.02,0.02,-0.48,-0.52,0,Stop loss: 26c <= 29c (entry=42c),564,35-44,1
2026-03-17T02:53:00.782826+00:00,KXNBA1HWINNER-26MAR16SASLAC-LAC,KXNBA1HWINNER-26MAR16SASLAC,,yes,watcher_quarter_winner,51,27,51,2,0.01,0.01,-0.48,-0.5,0,Stop loss: 27c <= 35c (entry=51c),104,45-54,1
2026-03-17T03:03:26.901667+00:00,KXNBAGAME-26MAR16SASLAC-LAC,KXNBAGAME-26MAR16SASLAC,NBAGAME,yes,exit_sl_manual,18,12,19,31,0.33,0.06,-1.86,-2.25,0,Stop loss: 12c<=12c entry=18c PNL=$-2.25,435,15-24,0
2026-03-17T03:05:14.136290+00:00,KXATPMATCH-26MAR16VUKHAR-HAR,KXATPMATCH-26MAR16VUKHAR,TennisMATCH,yes,exit_stale_tennis_underdog,25,26,31,5,0.02,0.02,0.05,0.01,1,"Stale: 1048s, 1c move, PNL=$0.01",1049,25-34,1
2026-03-17T03:07:51.421622+00:00,KXATPMATCH-26MAR16SVASMI-SMI,KXATPMATCH-26MAR16SVASMI,TennisMATCH,yes,exit_stale_tennis_underdog,44,45,45,2,0.01,0.01,0.02,0.0,0,"Stale: 942s, 1c move, PNL=$0.00",942,35-44,1
2026-03-17T03:26:14.212702+00:00,KXATPMATCH-26MAR16VUKHAR-HAR,KXATPMATCH-26MAR16VUKHAR,TennisMATCH,yes,exit_stale_tennis_underdog,30,28,32,4,0.02,0.02,-0.08,-0.12,0,"Stale: 944s, 2c move, PNL=$-0.12",944,25-34,1
2026-03-17T03:30:42.307732+00:00,KXATPMATCH-26MAR16SVASMI-SMI,KXATPMATCH-26MAR16SVASMI,TennisMATCH,yes,exit_stale_tennis_underdog,44,41,44,2,0.01,0.01,-0.06,-0.08,0,"Stale: 950s, 3c move, PNL=$-0.08",952,35-44,1
2026-03-17T03:35:00.935257+00:00,KXNBA3PT-26MAR16SASLAC-LACDGARLAND10-3,KXNBA3PT-26MAR16SASLAC,,yes,watcher_prop_yes,53,6,54,2,0.01,0.01,-0.94,-0.96,0,Stop loss: 6c <= 37c (entry=53c),4263,45-54,1
2026-03-17T03:40:22.512219+00:00,KXNBASPREAD-26MAR16SASLAC-SAS2,KXNBASPREAD-26MAR16SASLAC,,no,watcher_value_fade,6,4,6,20,0.02,0.02,-0.4,-0.44,0,Stop loss: 4c <= 4c (entry=6c),156,5-14,1
2026-03-17T03:50:21.089529+00:00,KXNBAPTS-26MAR16LALHOU-LALAREAVES15-20,KXNBAPTS-26MAR16LALHOU,,yes,watcher_prop_yes,55,34,56,2,0.01,0.01,-0.42,-0.44,0,Stop loss: 34c <= 38c (entry=55c),2708,55-64,1
2026-03-17T03:50:21.792995+00:00,KXNBASPREAD-26MAR16SASLAC-SAS2,KXNBASPREAD-26MAR16SASLAC,,no,watcher_value_fade,3,1,3,20,0.02,0.01,-0.4,-0.43,0,Stop loss: 1c <= 2c (entry=3c),117,other,1
2026-03-17T03:53:44.668798+00:00,KXATPMATCH-26MAR16VUKHAR-HAR,KXATPMATCH-26MAR16VUKHAR,TennisMATCH,yes,exit_stale_tennis_underdog,31,28,31,4,0.02,0.02,-0.12,-0.16,0,"Stale: 957s, 3c move, PNL=$-0.16",957,25-34,1
2026-03-17T03:57:14.991894+00:00,KXATPMATCH-26MAR16SVASMI-SMI,KXATPMATCH-26MAR16SVASMI,TennisMATCH,yes,exit_stale_tennis_underdog,44,42,45,2,0.01,0.01,-0.04,-0.06,0,"Stale: 902s, 2c move, PNL=$-0.06",902,35-44,1
2026-03-17T04:03:13.111206+00:00,KXNBAGAME-26MAR16LALHOU-LAL,KXNBAGAME-26MAR16LALHOU,,no,watcher_value_fade,5,1,5,20,0.02,0.01,-0.8,-0.83,0,Stop loss: 1c <= 3c (entry=5c),198,5-14,1
2026-03-17T04:10:27.198031+00:00,KXATPMATCH-26MAR16VUKHAR-HAR,KXATPMATCH-26MAR16VUKHAR,TennisMATCH,yes,exit_stale_tennis_underdog,30,27,30,4,0.02,0.02,-0.12,-0.16,0,"Stale: 948s, 3c move, PNL=$-0.16",948,25-34,1
